Stazione,Latitudine,Longitudine,Data_Ora,Benzene (µg/m³),CO (mg/m³),Direzione_Vento (°N),Etilbenzene (µg/m³),m-Xilene (µg/m³),Metano (ppm),NMHC (ppm),NO2 (µg/m³),NOx (ppb),NO (ppb),o-Xilene (µg/m³),O3 (µg/m³),p-Xilene (µg/m³),PM10 (µg/m³),Precipitazione (mm),Pressione (mBar),Radiazione_Globale (W/m²),SO2 (µg/m³),Temperatura (°C),Toluene (µg/m³),Umidità_Relativa (%),Velocità_Vento (m/s)
Pisticci,40.420277,16.548333,05/01/2021 21:00,0.89,0.26,90.73,0.08,0.33,1.75,0.11,15.9,10.22,1.85,0.05,43.36,0.14,-9999.0,0.0,1005.49,0.0,4.31,9.0,0.93,84.41,0.61
Pisticci,40.420277,16.548333,05/01/2021 22:00,1.03,0.08,272.36,0.16,0.36,1.74,0.11,12.03,7.67,1.35,0.03,37.77,0.45,-9999.0,0.0,1005.5,0.0,4.61,8.26,1.53,85.7,0.32
Pisticci,40.420277,16.548333,05/01/2021 23:00,1.0,0.15,288.43,0.24,0.33,1.73,0.13,13.47,8.41,1.36,0.11,-9999.0,0.45,-9999.0,0.0,1005.67,0.0,4.14,8.2,1.75,88.63,0.36
Pisticci,40.420277,16.548333,06/01/2021 00:00,0.91,0.13,45.81,0.16,0.29,1.72,0.12,8.4,5.29,0.92,0.04,45.43,0.31,-9999.0,0.0,1005.6,0.0,-9999.0,8.58,2.45,90.01,0.52
Pisticci,40.420277,16.548333,06/01/2021 01:00,0.86,0.28,337.21,0.14,0.3,-9999.0,-9999.0,6.61,4.42,0.96,0.01,47.39,0.15,-9999.0,0.0,1005.29,0.0,5.55,9.02,4.9,87.42,0.5
Pisticci,40.420277,16.548333,06/01/2021 02:00,0.86,0.04,315.36,0.16,0.27,1.72,0.12,6.54,4.27,0.87,0.05,45.61,0.3,-9999.0,0.0,1005.19,0.0,4.68,8.46,7.66,87.66,0.39
Pisticci,40.420277,16.548333,06/01/2021 03:00,0.83,0.02,336.68,0.12,0.27,1.75,0.11,4.98,-9999.0,-9999.0,0.02,53.52,0.11,-9999.0,0.0,1005.63,0.0,5.02,9.63,7.11,87.74,0.69
Pisticci,40.420277,16.548333,06/01/2021 04:00,0.83,0.01,64.75,0.08,0.15,1.72,0.11,5.34,3.72,0.96,0.01,47.47,0.2,-9999.0,0.0,1005.66,0.0,5.23,8.67,3.55,86.27,0.37
Pisticci,40.420277,16.548333,06/01/2021 05:00,0.82,0.05,336.44,0.11,0.12,1.75,0.13,7.37,4.7,0.91,0.01,40.17,0.18,-9999.0,0.0,1005.65,0.0,5.75,7.91,2.14,87.54,0.12
Pisticci,40.420277,16.548333,06/01/2021 06:00,0.75,0.0,295.42,0.02,0.21,1.74,0.11,5.75,3.86,0.88,0.01,45.1,0.03,-9999.0,0.0,1006.12,0.0,3.56,9.36,2.94,89.07,0.8
Pisticci,40.420277,16.548333,06/01/2021 07:00,0.73,0.0,338.11,0.07,0.23,1.71,0.12,6.79,4.51,0.96,0.01,56.06,0.02,-9999.0,0.0,1006.87,0.0,4.08,10.71,3.41,89.3,0.43
Pisticci,40.420277,16.548333,06/01/2021 08:00,0.59,0.02,288.56,0.01,0.2,1.72,0.12,14.52,8.85,1.25,0.01,36.28,0.01,-9999.0,0.0,1007.23,0.0,4.36,9.85,1.57,90.83,0.31
Pisticci,40.420277,16.548333,06/01/2021 09:00,0.65,0.05,337.01,0.04,0.13,1.72,0.12,19.38,13.41,3.23,0.01,24.69,0.14,-9999.0,0.0,1007.76,23.63,4.47,9.4,1.26,92.69,0.19
Pisticci,40.420277,16.548333,06/01/2021 10:00,0.65,0.0,-9999.0,0.09,0.3,1.74,0.15,20.1,16.32,5.8,0.01,22.05,0.17,-9999.0,0.0,1008.19,60.19,3.8,9.55,1.54,94.41,-9999.0
Pisticci,40.420277,16.548333,06/01/2021 11:00,0.75,0.0,292.46,0.16,0.37,1.77,0.16,12.38,8.85,2.36,0.03,36.84,0.27,-9999.0,0.0,1008.08,82.31,4.25,11.43,2.54,95.61,0.5
Pisticci,40.420277,16.548333,06/01/2021 12:00,0.74,0.0,112.48,0.15,0.19,1.73,0.14,9.55,6.64,1.65,0.01,44.36,0.14,-9999.0,0.0,1007.52,111.27,3.4,13.06,3.87,93.18,0.62
Pisticci,40.420277,16.548333,06/01/2021 13:00,0.84,0.03,89.88,0.17,0.28,1.71,0.14,8.1,6.29,2.11,0.01,55.55,0.27,-9999.0,0.0,1006.75,224.28,4.43,15.85,4.59,82.0,0.69
Pisticci,40.420277,16.548333,06/01/2021 14:00,1.08,0.26,46.51,0.18,0.28,1.71,0.16,8.52,6.25,1.8,0.03,54.77,0.31,-9999.0,0.0,1006.47,117.63,3.7,15.85,2.65,76.99,0.56
Pisticci,40.420277,16.548333,06/01/2021 15:00,1.12,0.13,162.35,0.17,0.26,1.7,0.14,8.62,5.9,1.43,0.03,56.76,0.28,-9999.0,0.0,1006.24,93.0,3.43,16.39,2.63,73.71,0.23
Pisticci,40.420277,16.548333,06/01/2021 16:00,1.03,0.13,292.46,0.11,0.29,1.7,0.14,6.14,4.19,1.03,0.01,58.37,0.36,-9999.0,0.0,1006.2,38.2,4.19,15.81,2.48,74.01,0.95
Pisticci,40.420277,16.548333,06/01/2021 17:00,0.89,0.43,248.21,0.17,0.33,1.68,0.1,3.34,2.58,0.85,0.01,73.57,0.16,-9999.0,0.0,1006.11,1.66,4.3,15.59,1.56,63.26,2.1
Pisticci,40.420277,16.548333,06/01/2021 18:00,0.74,0.05,248.12,0.02,0.2,1.69,0.11,4.68,3.44,1.03,0.01,66.33,0.17,-9999.0,0.0,1006.49,0.0,4.62,13.77,0.86,67.13,0.82
Pisticci,40.420277,16.548333,06/01/2021 19:00,0.77,0.14,246.51,0.06,0.1,1.83,0.14,11.38,7.36,1.4,0.01,49.89,0.17,-9999.0,0.0,1006.94,0.0,3.6,12.12,0.71,75.52,0.19
Pisticci,40.420277,16.548333,06/01/2021 20:00,0.77,0.05,271.03,0.05,0.2,1.91,0.15,14.94,9.27,1.47,0.01,36.3,0.13,-9999.0,0.0,1007.14,0.0,3.64,10.94,0.96,81.31,0.17
Pisticci,40.420277,16.548333,06/01/2021 21:00,0.76,0.17,244.15,0.13,0.24,1.91,0.16,17.31,11.02,1.99,0.01,32.25,0.23,-9999.0,0.2,1007.52,0.0,4.18,10.66,0.91,85.69,0.21
Pisticci,40.420277,16.548333,06/01/2021 22:00,0.79,0.04,135.7,0.15,0.41,2.07,0.19,18.93,13.02,3.11,0.18,-9999.0,0.45,-9999.0,0.0,1007.46,0.0,2.97,10.13,1.47,88.63,0.14
Pisticci,40.420277,16.548333,06/01/2021 23:00,0.78,0.34,294.3,0.23,0.37,2.02,0.16,14.53,8.76,1.19,0.09,31.54,0.5,-9999.0,0.0,1007.33,0.0,-9999.0,9.71,1.39,91.02,0.03
Pisticci,40.420277,16.548333,07/01/2021 00:00,0.82,0.01,339.01,0.23,0.38,-9999.0,-9999.0,8.77,5.56,0.98,0.1,45.24,0.3,-9999.0,0.0,1007.05,0.0,3.49,9.93,1.73,92.52,0.17
Pisticci,40.420277,16.548333,07/01/2021 01:00,0.74,0.0,294.35,0.23,0.38,1.71,0.14,6.04,4.17,1.02,0.01,45.64,0.48,-9999.0,0.0,1007.12,0.01,3.67,9.66,2.25,93.17,0.28
Pisticci,40.420277,16.548333,07/01/2021 02:00,0.73,0.0,247.34,0.25,0.39,1.73,0.13,7.05,-9999.0,-9999.0,0.11,40.71,0.51,-9999.0,0.0,1007.53,0.0,3.75,10.05,2.55,93.75,0.13
Pisticci,40.420277,16.548333,07/01/2021 03:00,0.93,0.0,336.6,0.1,0.36,1.74,0.15,5.55,3.81,0.94,0.06,43.44,0.36,-9999.0,0.0,1007.53,0.0,1.32,10.43,1.46,94.34,0.48
Pisticci,40.420277,16.548333,07/01/2021 04:00,1.74,0.03,339.14,0.18,0.39,1.77,0.13,3.67,2.87,0.97,0.01,52.2,0.34,-9999.0,0.0,1007.56,0.0,3.32,11.38,1.5,94.18,0.4
Pisticci,40.420277,16.548333,07/01/2021 05:00,1.64,0.09,245.61,0.14,0.28,1.89,0.13,5.52,3.91,1.04,0.02,39.58,0.28,-9999.0,0.0,1007.69,0.0,3.96,10.53,1.11,93.17,0.25
Pisticci,40.420277,16.548333,07/01/2021 06:00,0.39,0.06,294.69,0.14,0.14,1.74,0.12,7.03,4.65,1.04,0.04,44.8,0.21,-9999.0,0.0,1007.75,0.0,4.98,10.83,0.77,94.1,0.31
Pisticci,40.420277,16.548333,07/01/2021 07:00,0.73,0.01,336.49,0.07,0.25,1.76,0.13,22.19,15.07,3.45,0.01,20.5,0.1,-9999.0,0.0,1007.54,0.0,2.75,10.49,0.7,94.56,0.23
Pisticci,40.420277,16.548333,07/01/2021 08:00,1.0,0.0,314.95,0.13,0.26,1.77,0.15,26.81,18.33,4.27,0.03,14.46,0.21,-9999.0,0.0,1007.44,1.32,3.59,10.29,0.83,95.16,0.17
Pisticci,40.420277,16.548333,07/01/2021 09:00,0.93,0.0,249.05,0.08,0.36,1.76,0.16,29.38,22.38,6.98,0.02,12.83,0.29,-9999.0,0.0,1007.84,27.23,3.84,10.96,1.2,95.96,0.19
Pisticci,40.420277,16.548333,07/01/2021 10:00,0.92,0.0,250.93,0.17,0.37,1.75,0.12,17.9,14.23,4.84,0.08,27.17,0.34,-9999.0,0.0,1007.91,46.56,2.54,11.79,1.33,96.44,0.12
Pisticci,40.420277,16.548333,07/01/2021 11:00,0.97,0.02,336.19,0.16,0.36,1.74,0.15,16.77,12.71,3.9,0.06,29.13,0.31,-9999.0,0.0,1007.53,109.18,3.64,12.51,1.11,96.08,0.32
Pisticci,40.420277,16.548333,07/01/2021 12:00,0.96,0.04,113.55,0.09,0.33,1.72,0.14,12.26,8.98,2.54,0.01,47.08,0.27,-9999.0,0.0,1007.11,163.46,3.85,14.01,0.98,93.75,0.32
Pisticci,40.420277,16.548333,07/01/2021 13:00,0.99,0.3,336.6,0.24,0.36,1.72,0.14,14.6,9.59,1.95,0.13,43.97,0.5,-9999.0,0.0,1006.31,113.94,4.94,14.46,1.71,88.4,0.2
Pisticci,40.420277,16.548333,07/01/2021 14:00,1.05,0.02,133.87,0.16,0.37,1.72,0.16,20.86,13.7,2.76,0.15,35.73,0.6,-9999.0,0.0,1005.63,49.16,5.03,14.5,2.45,86.52,0.12
Pisticci,40.420277,16.548333,07/01/2021 15:00,1.1,0.04,68.35,0.21,0.35,1.69,0.15,16.74,11.34,2.58,0.07,40.37,0.46,-9999.0,0.0,1004.94,78.83,4.88,14.3,3.15,85.32,0.47
Pisticci,40.420277,16.548333,07/01/2021 16:00,1.04,0.06,246.26,0.11,0.31,1.69,0.16,24.93,17.42,4.35,0.01,24.42,0.44,-9999.0,0.2,1004.88,30.77,4.25,13.68,3.04,85.82,0.1
Pisticci,40.420277,16.548333,07/01/2021 17:00,1.02,0.2,270.07,0.22,0.37,1.69,0.18,26.4,18.18,4.34,0.01,15.24,0.35,-9999.0,0.0,1004.83,8.7,4.52,12.97,1.95,88.48,0.17
Pisticci,40.420277,16.548333,07/01/2021 18:00,0.98,0.19,339.23,0.23,0.55,1.68,0.2,37.37,27.82,8.23,0.01,5.17,0.2,-9999.0,0.0,1004.48,0.0,2.15,11.81,1.51,90.85,0.02
Pisticci,40.420277,16.548333,07/01/2021 19:00,0.92,0.23,248.09,0.28,0.71,1.86,0.18,30.68,24.03,7.97,0.02,15.84,0.54,-9999.0,0.0,1004.41,0.0,4.49,11.94,2.14,92.97,0.32
Pisticci,40.420277,16.548333,07/01/2021 20:00,1.01,0.25,334.02,0.37,0.74,1.76,0.17,25.03,15.4,2.32,0.14,14.02,0.75,-9999.0,0.0,1004.24,0.0,5.24,12.27,3.55,94.29,0.42
Pisticci,40.420277,16.548333,07/01/2021 21:00,0.96,0.11,335.25,0.3,0.6,1.72,0.16,15.9,9.29,0.98,0.02,-9999.0,0.63,-9999.0,0.0,1003.65,0.0,4.54,12.82,4.0,94.79,0.7
Pisticci,40.420277,16.548333,07/01/2021 22:00,0.87,0.1,336.6,0.28,0.45,1.73,0.14,11.76,7.32,1.16,0.11,38.16,0.61,-9999.0,0.0,1003.4,0.0,-9999.0,12.85,2.49,93.57,0.63
Pisticci,40.420277,16.548333,07/01/2021 23:00,0.87,3.25,336.72,0.27,0.35,-9999.0,-9999.0,11.89,7.43,1.2,0.17,34.45,0.55,-9999.0,0.0,1002.83,0.0,3.99,12.63,1.8,92.26,0.52
Pisticci,40.420277,16.548333,08/01/2021 00:00,0.86,1.13,293.31,0.25,0.33,1.71,0.14,8.35,5.31,0.96,0.02,36.64,0.55,-9999.0,0.0,1002.11,0.0,7.42,12.07,1.78,92.73,0.52
Pisticci,40.420277,16.548333,08/01/2021 01:00,0.84,0.05,314.38,0.25,0.3,1.72,0.14,8.93,-9999.0,-9999.0,0.15,34.01,0.47,-9999.0,0.0,1001.77,0.0,6.49,12.16,1.53,93.67,0.57
Pisticci,40.420277,16.548333,08/01/2021 02:00,0.84,0.17,247.62,0.12,0.28,2.0,0.13,7.03,4.74,1.04,0.08,30.89,0.42,-9999.0,0.0,1001.46,0.01,3.47,11.9,1.29,94.05,0.53
Pisticci,40.420277,16.548333,08/01/2021 03:00,0.86,0.09,247.05,0.21,0.25,1.92,0.14,6.47,4.16,0.83,0.05,27.01,0.37,-9999.0,0.0,1001.0,0.0,5.26,10.98,1.13,94.75,0.33
Pisticci,40.420277,16.548333,08/01/2021 04:00,0.8,0.17,246.33,0.18,0.23,2.15,0.13,5.56,3.81,0.94,0.02,23.16,0.34,-9999.0,0.0,1000.54,0.0,4.62,9.88,1.09,95.64,0.18
Pisticci,40.420277,16.548333,08/01/2021 05:00,0.75,0.08,296.88,0.16,0.23,1.89,0.13,7.08,4.71,1.03,0.01,17.31,0.3,-9999.0,0.0,1000.07,0.0,4.15,9.12,0.95,96.54,0.15
Pisticci,40.420277,16.548333,08/01/2021 06:00,0.72,0.1,228.74,0.1,0.15,2.1,0.14,12.05,9.22,2.9,0.02,10.77,0.3,-9999.0,0.0,1000.17,0.01,3.3,9.43,0.97,97.65,0.19
Pisticci,40.420277,16.548333,08/01/2021 07:00,0.72,0.19,246.51,0.18,0.29,1.96,0.15,24.54,30.63,17.82,0.07,4.27,0.33,-9999.0,0.0,1000.27,0.0,5.65,10.06,0.99,98.52,0.24
Pisticci,40.420277,16.548333,08/01/2021 08:00,0.77,0.34,225.57,0.18,0.29,1.99,0.13,17.74,14.87,5.57,0.14,9.04,0.33,-9999.0,0.0,1000.41,8.85,4.69,10.48,1.01,99.25,0.16
Pisticci,40.420277,16.548333,08/01/2021 09:00,0.79,0.27,336.01,0.11,0.3,1.76,0.15,19.95,19.07,8.62,0.01,22.5,0.34,-9999.0,0.0,1000.53,114.44,4.55,12.42,1.11,99.93,0.35
Pisticci,40.420277,16.548333,08/01/2021 10:00,-9999.0,0.18,335.67,-9999.0,-9999.0,1.71,0.15,10.58,8.37,2.82,-9999.0,36.51,-9999.0,-9999.0,0.0,1001.14,279.41,5.46,14.3,-9999.0,98.95,1.04
Pisticci,40.420277,16.548333,08/01/2021 11:00,-9999.0,0.43,336.29,-9999.0,-9999.0,1.71,0.15,7.63,5.61,1.61,-9999.0,41.27,-9999.0,-9999.0,0.4,1001.42,171.95,5.93,14.13,-9999.0,95.97,1.27
Pisticci,40.420277,16.548333,08/01/2021 12:00,-9999.0,0.6,336.0,-9999.0,-9999.0,1.7,0.15,6.9,5.16,1.51,-9999.0,44.27,-9999.0,-9999.0,0.0,1001.14,188.45,5.24,13.85,-9999.0,92.58,1.37
Pisticci,40.420277,16.548333,08/01/2021 13:00,-9999.0,1.65,335.78,-9999.0,-9999.0,1.69,0.14,6.58,4.85,1.41,-9999.0,-9999.0,-9999.0,-9999.0,0.0,1000.43,172.0,4.34,13.37,-9999.0,90.56,1.5
Pisticci,40.420277,16.548333,08/01/2021 14:00,-9999.0,0.71,335.58,-9999.0,-9999.0,1.68,0.14,6.38,4.5,1.18,-9999.0,56.1,-9999.0,-9999.0,0.0,1000.51,45.0,-9999.0,13.11,-9999.0,88.91,1.64
Pisticci,40.420277,16.548333,08/01/2021 15:00,0.74,0.19,335.63,0.44,0.52,-9999.0,-9999.0,7.32,5.04,1.21,0.29,56.66,0.62,-9999.0,0.0,1000.85,38.39,3.09,12.63,0.81,88.21,1.77
Pisticci,40.420277,16.548333,08/01/2021 16:00,0.71,3.65,335.45,0.26,0.28,1.73,0.13,7.71,5.37,1.35,0.07,52.51,0.4,-9999.0,0.0,1001.5,6.07,4.85,11.67,0.72,88.55,1.97
Pisticci,40.420277,16.548333,08/01/2021 17:00,0.77,2.12,335.7,0.21,0.21,1.75,0.13,7.59,-9999.0,-9999.0,0.07,51.89,0.3,-9999.0,0.2,1001.93,0.59,3.81,10.09,0.78,90.92,1.89
Pisticci,40.420277,16.548333,08/01/2021 18:00,0.79,0.09,335.91,0.13,0.22,1.74,0.13,7.29,4.87,1.05,0.08,55.4,0.34,-9999.0,3.2,1002.46,0.0,3.9,9.15,0.85,94.82,1.77
Pisticci,40.420277,16.548333,08/01/2021 19:00,0.76,0.08,336.78,0.21,0.21,1.74,0.12,7.84,5.17,1.1,0.02,53.73,0.32,-9999.0,3.4,1002.9,0.0,4.37,8.84,0.82,98.75,1.37
Pisticci,40.420277,16.548333,08/01/2021 20:00,0.97,0.05,336.76,0.21,0.13,1.74,0.11,7.52,5.02,1.09,0.02,53.27,0.32,-9999.0,0.4,1002.97,0.0,4.64,8.78,0.78,99.99,1.13
Pisticci,40.420277,16.548333,08/01/2021 21:00,0.85,0.02,336.78,0.21,0.12,1.76,0.12,7.37,4.95,1.11,0.11,55.49,0.33,-9999.0,0.0,1003.95,0.0,4.16,8.86,0.78,100.0,0.86
Pisticci,40.420277,16.548333,08/01/2021 22:00,0.68,0.19,335.87,0.21,0.12,1.76,0.12,7.08,4.76,1.08,0.06,53.82,0.33,-9999.0,0.2,1004.76,0.0,4.33,8.76,0.84,99.99,0.81
Pisticci,40.420277,16.548333,08/01/2021 23:00,0.72,0.46,315.08,0.21,0.12,1.76,0.12,6.6,4.47,1.02,0.05,52.82,0.36,-9999.0,0.4,1005.13,0.0,4.64,8.74,0.93,99.99,0.68
Pisticci,40.420277,16.548333,09/01/2021 00:00,0.71,0.12,336.39,0.21,0.22,1.77,0.12,5.79,3.99,0.98,0.06,53.55,0.34,-9999.0,0.0,1005.11,0.0,4.75,9.03,0.96,99.99,1.11
Pisticci,40.420277,16.548333,09/01/2021 01:00,0.74,0.23,314.63,0.21,0.2,1.78,0.11,6.11,4.19,1.01,0.02,52.15,0.35,-9999.0,0.0,1005.22,0.0,5.86,9.26,0.92,99.99,0.9
Pisticci,40.420277,16.548333,09/01/2021 02:00,0.77,0.13,335.89,0.22,0.2,1.79,0.12,5.89,4.16,1.12,0.05,51.92,0.33,-9999.0,0.0,1005.75,0.0,4.29,9.76,0.97,99.99,1.04
Pisticci,40.420277,16.548333,09/01/2021 03:00,0.79,0.02,336.42,0.12,0.21,1.78,0.11,5.15,3.77,1.07,0.06,54.5,0.34,-9999.0,0.0,1005.63,0.0,3.66,10.1,0.99,99.99,1.01
Pisticci,40.420277,16.548333,09/01/2021 04:00,0.8,0.17,315.53,0.21,0.21,1.77,0.11,4.91,3.46,0.96,0.01,55.63,0.18,-9999.0,0.0,1005.69,0.0,3.51,10.24,1.0,99.99,0.75
Pisticci,40.420277,16.548333,09/01/2021 05:00,0.79,0.08,315.89,0.2,0.21,1.78,0.12,5.22,3.74,1.01,0.03,53.53,0.34,-9999.0,0.0,1005.89,0.0,4.85,10.16,0.97,99.99,0.81
Pisticci,40.420277,16.548333,09/01/2021 06:00,0.8,0.01,314.09,0.22,0.21,1.78,0.12,5.37,3.93,1.13,0.02,49.79,0.2,-9999.0,0.0,1006.0,0.0,5.28,10.08,0.99,99.99,0.67
Pisticci,40.420277,16.548333,09/01/2021 07:00,0.82,0.01,315.79,0.12,0.21,1.78,0.12,5.84,4.14,1.11,0.01,48.82,0.34,-9999.0,0.0,1006.9,0.0,2.91,10.13,1.02,99.99,0.58
Pisticci,40.420277,16.548333,09/01/2021 08:00,0.82,0.28,291.64,0.11,0.22,1.78,0.12,8.69,6.12,1.57,0.03,44.58,0.35,-9999.0,0.0,1007.13,1.6,3.43,9.83,1.01,99.99,0.35
Pisticci,40.420277,16.548333,09/01/2021 09:00,0.83,0.14,315.41,0.22,0.17,1.78,0.12,7.62,5.14,1.13,0.02,47.25,0.36,-9999.0,0.0,1007.45,30.74,5.23,10.24,1.05,99.99,0.42
Pisticci,40.420277,16.548333,09/01/2021 10:00,0.84,0.18,336.2,0.13,0.3,1.79,0.14,8.06,5.49,1.29,0.06,44.72,0.41,-9999.0,0.0,1007.76,50.89,3.88,10.85,1.11,99.99,0.41
Pisticci,40.420277,16.548333,09/01/2021 11:00,0.87,0.07,292.87,0.27,0.32,1.79,0.12,8.47,5.59,1.19,0.09,43.6,0.44,-9999.0,0.0,1007.47,53.7,2.01,11.4,1.23,99.64,0.22
Pisticci,40.420277,16.548333,09/01/2021 12:00,0.87,0.2,271.06,0.26,0.32,1.79,0.14,9.17,6.62,1.83,0.04,-9999.0,0.41,-9999.0,0.0,1005.94,75.75,4.27,11.62,1.17,97.2,0.38
Pisticci,40.420277,16.548333,09/01/2021 13:00,1.03,0.2,90.22,0.26,0.31,1.77,0.14,11.01,7.95,2.18,0.02,38.86,0.43,-9999.0,0.8,1005.38,39.33,-9999.0,11.37,1.22,94.37,0.55
Pisticci,40.420277,16.548333,09/01/2021 14:00,1.03,0.25,338.39,0.25,0.31,-9999.0,-9999.0,10.12,7.82,2.52,0.01,37.94,0.4,-9999.0,0.2,1005.0,24.72,3.69,10.5,1.92,94.88,0.43
Pisticci,40.420277,16.548333,09/01/2021 15:00,0.95,0.49,335.82,0.24,0.43,1.77,0.15,11.22,7.09,1.2,0.07,40.78,0.37,-9999.0,0.0,1005.09,17.7,3.66,10.2,2.9,96.83,0.54
Pisticci,40.420277,16.548333,09/01/2021 16:00,0.89,2.85,337.51,0.14,0.33,1.75,0.14,8.27,-9999.0,-9999.0,0.01,40.81,0.33,-9999.0,0.0,1005.21,5.93,3.56,10.36,1.91,98.06,0.02
Pisticci,40.420277,16.548333,09/01/2021 17:00,0.86,0.66,314.81,0.21,0.35,1.75,0.13,10.25,6.94,1.6,0.02,36.51,0.29,-9999.0,0.0,1005.59,0.0,4.45,10.36,1.24,98.68,0.0
Pisticci,40.420277,16.548333,09/01/2021 18:00,0.88,6.17,268.14,0.21,0.42,1.76,0.15,10.52,6.92,1.45,0.03,33.93,0.17,-9999.0,0.0,1006.06,0.0,4.24,10.19,1.11,99.09,0.08
Pisticci,40.420277,16.548333,09/01/2021 19:00,0.87,0.07,334.82,0.11,0.45,1.78,0.15,8.96,5.83,1.13,0.01,37.57,0.13,-9999.0,0.0,1006.46,0.0,4.28,10.14,0.96,99.62,0.26
Pisticci,40.420277,16.548333,09/01/2021 20:00,0.87,0.06,337.51,0.18,0.41,1.75,0.13,7.09,4.81,1.07,0.05,42.14,0.26,-9999.0,0.0,1007.18,0.0,3.93,10.0,0.98,99.99,0.12
Pisticci,40.420277,16.548333,09/01/2021 21:00,0.9,1.23,336.7,0.18,0.33,1.76,0.12,8.89,5.7,1.09,0.05,41.97,0.26,-9999.0,0.0,1006.81,0.0,3.45,9.81,0.91,99.99,0.09
Pisticci,40.420277,16.548333,09/01/2021 22:00,0.91,0.0,335.3,0.12,0.3,1.75,0.13,5.57,3.92,1.06,0.01,52.25,0.26,-9999.0,0.4,1007.33,0.0,3.27,9.76,0.97,99.99,0.17
Pisticci,40.420277,16.548333,09/01/2021 23:00,0.9,0.04,288.6,0.18,0.25,1.75,0.14,6.71,4.85,1.38,0.02,47.17,0.14,-9999.0,1.2,1007.11,0.0,4.82,9.63,0.88,99.99,0.05
Pisticci,40.420277,16.548333,10/01/2021 00:00,0.88,0.2,336.11,0.15,0.26,1.76,0.13,5.22,3.76,1.03,0.02,44.03,0.14,-9999.0,0.8,1006.86,0.0,3.73,9.5,0.81,99.99,0.07
Pisticci,40.420277,16.548333,10/01/2021 01:00,0.86,0.6,336.38,0.09,0.31,1.77,0.13,4.86,3.65,1.14,0.02,43.01,0.21,-9999.0,1.0,1006.74,0.0,4.55,9.34,0.89,99.99,0.04
Pisticci,40.420277,16.548333,10/01/2021 02:00,0.87,0.84,336.66,0.09,0.27,1.78,0.13,5.18,3.82,1.11,0.01,40.89,0.11,-9999.0,2.0,1006.67,0.0,3.23,9.37,0.85,99.99,0.02
Pisticci,40.420277,16.548333,10/01/2021 03:00,0.87,0.72,338.21,0.18,0.29,1.78,0.13,5.33,3.9,1.13,0.01,42.25,0.24,-9999.0,1.6,1006.3,0.0,4.12,9.23,0.96,99.99,0.05
Pisticci,40.420277,16.548333,10/01/2021 04:00,0.87,0.24,335.48,0.16,0.17,1.76,0.13,4.56,3.47,1.1,0.01,45.21,0.11,-9999.0,0.0,1005.32,0.0,4.9,8.9,0.92,99.99,0.16
Pisticci,40.420277,16.548333,10/01/2021 05:00,0.87,0.05,335.96,0.14,0.25,1.77,0.14,3.99,3.21,1.15,0.01,42.03,0.18,-9999.0,0.6,1006.15,0.0,4.51,9.22,0.87,99.99,0.24
Pisticci,40.420277,16.548333,10/01/2021 06:00,0.83,0.69,315.62,0.16,0.32,1.76,0.13,4.81,3.86,1.33,0.01,43.02,0.21,-9999.0,1.0,1006.2,0.0,3.72,9.15,0.83,99.99,0.47
Pisticci,40.420277,16.548333,10/01/2021 07:00,0.85,0.23,336.9,0.16,0.26,1.77,0.13,6.52,4.63,1.22,0.01,40.18,0.12,-9999.0,1.0,1005.62,0.0,2.65,9.14,0.82,99.99,0.6
Pisticci,40.420277,16.548333,10/01/2021 08:00,0.86,0.01,-9999.0,0.15,0.25,1.8,0.12,5.77,4.08,1.07,0.01,37.47,0.19,-9999.0,0.8,1005.41,1.27,3.09,9.31,0.98,99.99,-9999.0
Pisticci,40.420277,16.548333,10/01/2021 09:00,0.84,2.32,336.01,0.16,0.16,1.76,0.12,5.53,4.0,1.12,0.01,41.47,0.11,-9999.0,0.0,1005.37,12.66,3.22,9.55,0.84,99.99,0.56
Pisticci,40.420277,16.548333,10/01/2021 10:00,0.84,0.58,315.74,0.15,0.28,1.77,0.13,6.61,4.92,1.44,0.01,43.04,0.19,-9999.0,1.8,1006.04,31.26,1.84,9.83,0.8,99.99,0.62
Pisticci,40.420277,16.548333,10/01/2021 11:00,0.84,0.06,269.57,0.13,0.27,1.75,0.14,6.33,5.15,1.84,0.01,-9999.0,0.12,-9999.0,0.0,1005.21,175.85,4.2,11.19,1.09,100.0,0.44
Pisticci,40.420277,16.548333,10/01/2021 12:00,0.88,0.18,336.01,0.16,0.31,1.75,0.14,5.08,4.02,1.4,0.02,43.66,0.14,-9999.0,0.0,1003.96,231.85,-9999.0,11.91,2.09,100.0,0.64
Pisticci,40.420277,16.548333,10/01/2021 13:00,0.89,0.57,336.61,0.2,0.32,-9999.0,-9999.0,4.73,3.93,1.44,0.02,42.65,0.28,-9999.0,0.0,1002.99,135.85,4.21,12.01,1.4,99.99,0.95
Pisticci,40.420277,16.548333,10/01/2021 14:00,0.88,0.3,337.12,0.18,0.14,1.74,0.15,7.26,5.49,1.69,0.02,37.12,0.24,-9999.0,0.0,1001.62,60.99,4.07,12.81,0.93,99.99,0.36
Pisticci,40.420277,16.548333,10/01/2021 15:00,0.89,0.11,336.73,0.17,0.33,1.75,0.14,6.97,-9999.0,-9999.0,0.02,37.85,0.12,-9999.0,0.0,1001.34,22.81,4.18,12.35,0.99,100.0,0.59
