Stazione,Latitudine,Longitudine,Data_Ora,CO (mg/m³),PM10 (µg/m³)
Potenza_viale_Firenze,40.313888,15.904444,14/01/2022 04:00,0.43,28.14
Potenza_viale_Firenze,40.313888,15.904444,14/01/2022 05:00,0.42,22.82
Potenza_viale_Firenze,40.313888,15.904444,14/01/2022 06:00,0.4,21.1
Potenza_viale_Firenze,40.313888,15.904444,14/01/2022 07:00,0.47,20.09
Potenza_viale_Firenze,40.313888,15.904444,14/01/2022 08:00,0.93,11.34
Potenza_viale_Firenze,40.313888,15.904444,14/01/2022 09:00,1.25,16.82
Potenza_viale_Firenze,40.313888,15.904444,14/01/2022 10:00,0.78,13.85
Potenza_viale_Firenze,40.313888,15.904444,14/01/2022 11:00,0.54,16.39
Potenza_viale_Firenze,40.313888,15.904444,14/01/2022 12:00,0.48,21.82
Potenza_viale_Firenze,40.313888,15.904444,14/01/2022 13:00,0.55,15.83
Potenza_viale_Firenze,40.313888,15.904444,14/01/2022 14:00,0.61,24.01
